Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,Q11,Q11_Confident,Q11_Time,Q12,Q12_Confident,Q12_Time,Q13,Q13_Confident,Q13_Time,Q14,Q14_Confident,Q14_Time,Q15,Q15_Confident,Q15_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0,1,2.238,0.456092441,2,2.782,0.156974312,2,3.944,0.280091028,2,6.109,0.474788649,2,2.254,0.41373324,1,3.113,0,1,3.354,0,3,2.239,0,3,4.62,0,2,4.001,0,2,4.584,0,3,2.81,0,2,3.744,0,1,4.697,0,1,2.721,1,2,6.134,2,0,0.199334938,1,1,0,Male,1,College degree,familiar,neutral,2
0,2,6.56,0,2,17.142,0,2,28.23,0.275630454,0,54.473,0.198642757,1,26.833,0.09700991,1,17.646,1,2,9.144,0,1,40.624,0,1,30.314,0,2,12.113,0,2,8.755,0,2,17.795,0,2,20.487,1,2,15.562,0,2,7.056,1,3,5.814,0,1,0.037879057,0,1,1,Male,1,High school degree,most unfamiliar,most unfamiliar,2
0,3,17.96,0,2,56.586,0,1,85.631,0.280091028,0,23.359,0.205212961,2,8.023,0.515269524,2,9.469,0,1,11.8,0,2,6.872,1,2,6.623,0,0,11.767,0,2,7.966,0,1,5.686,0,2,6.757,1,1,6.735,0,0,6.959,1,3,7.782,3,1,0.037879057,1,1,1,Male,2,College degree,familiar,unfamiliar,2
0,3,9.055,0.456092441,3,6.425,0,3,11.898,0.079019267,2,5.515,0.198642757,3,6.292,0.515269524,2,9.384,0,2,4.853,0,2,6.192,0,2,5.98,0,1,4.376,1,2,5.626,0,1,5.722,0,2,4.746,1,2,8.177,0,2,9.101,1,3,6.941,3,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,neutral,2
0.070479965,2,6.628,0,2,6.455,0.101221045,1,16.46,0.094366575,1,17.927,0.054495195,2,7.229,0.062950331,3,5.161,0,2,16.392,0,1,15.478,0,1,59.566,0,2,12.985,0,2,12.42,0,1,16.975,1,2,7.098,1,2,11.155,1,2,30.074,1,2,7.012,0,1,0.037879057,1,1,1,Male,2,Some college,unfamiliar,unfamiliar,1
0,2,11.849,0.110841404,2,18.228,0,2,38.213,0.275630454,1,56.85,0.198642757,1,42.313,0.09700991,0,24.294,0,0,25.157,0,1,27.122,0,0,109.154,0,1,43.502,0,0,16.453,0,0,19.076,0,1,13.897,1,2,12.804,0,1,12.85,1,3,99.613,2,1,0.037879057,1,1,1,Female,2,Graduate degree,neutral,neutral,2
0,2,79.562,0,1,9.146,0,1,16.018,0.162974289,3,15.57,0.054495195,1,8.154,0.062950331,2,10.13,0,1,106.433,1,3,44.395,1,2,32.522,0,0,16.082,1,2,35.017,0,1,63.946,1,3,26.817,1,2,67.017,1,1,49.081,1,3,24.377,2,1,0.037879057,1,1,1,Male,4,Graduate degree,familiar,familiar,3
0,3,18.565,0,3,51.397,0,3,9.117,0.016485074,2,28.65,0.100336011,1,60.331,0.046373167,2,12.724,1,3,9.265,1,3,8.818,1,3,7.81,1,3,8.988,1,3,11.764,1,3,12.908,1,3,8.608,1,3,6.431,1,3,9.587,1,3,7.556,3,1,0.037879057,1,1,1,Female,1,College degree,most unfamiliar,most unfamiliar,3
0,2,8.555,0,3,41.43,0.156974312,2,7.261,0.079019267,3,6.685,0.198642757,3,22.249,0.515269524,3,11.839,0,3,6.804,0,3,13.114,1,3,13.42,0,3,10.595,1,3,11.747,0,3,10.339,0,3,9.324,1,3,10.723,0,3,8.512,1,3,12.258,3,1,0.037879057,1,1,1,Male,2,Graduate degree,familiar,familiar,1
0,2,12.515,0.367700595,2,9.525,0,1,9.978,0.101270069,1,12.009,0.054495195,1,19.301,0.062950331,2,8.273,1,1,16.613,1,2,9.676,1,2,9.016,0,1,14.319,0,0,7.431,0,1,14.316,1,2,14.374,1,2,14.703,1,2,6.477,1,3,11.613,0,1,0.037879057,1,1,1,Female,1,Some high school,neutral,neutral,2
0,2,13.888,0.06018547,3,15.399,0,2,7.837,0.016485074,2,26.756,0.100336011,2,25.549,0.046373167,3,14.273,1,2,22.77,1,2,30.078,1,2,44.499,0,2,31.568,1,2,41.16,0,2,40.085,1,3,18.38,1,3,19.293,1,3,11.889,1,3,10.577,0,1,0.075813614,1,1,1,Female,3,College degree,most familiar,familiar,2
0,2,17.531,0,2,13.375,0,1,32.082,0.079019267,3,17.558,0.198642757,2,22.877,0.09700991,2,29.908,1,1,17.003,0,1,19.526,0,3,15.705,0,2,20.477,0,2,15.723,0,0,17.17,0,3,10.743,0,3,10.331,0,3,13.505,1,3,8.11,0,1,0.037879057,1,1,1,Female,3,High school degree,unfamiliar,unfamiliar,0
0,2,16.276,0,2,31.469,0.129093699,1,36.747,0.079019267,1,22.44,0.198642757,2,19.681,0.09700991,1,16.753,1,1,43.317,0,1,58.008,0,1,90.264,1,2,17.005,0,0,112.224,1,2,9.786,0,2,18.772,1,2,16.46,0,2,38.85,1,3,6.409,0,1,0.037879057,1,1,1,Female,4,College degree,familiar,neutral,2
