Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,Q11,Q11_Confident,Q11_Time,Q12,Q12_Confident,Q12_Time,Q13,Q13_Confident,Q13_Time,Q14,Q14_Confident,Q14_Time,Q15,Q15_Confident,Q15_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0.130250296,2,8.909,0.367700595,2,6.306,0,2,13.246,0.101270069,2,9.207,0.054495195,3,8.126,0.062950331,3,4.607,1,2,8.469,0,2,13.128,0,2,13.908,0,2,7.43,0,2,10.129,0,2,5.894,0,2,6.989,0,2,8.266,0,2,7.89,1,1,10.689,3,1,0.037879057,1,1,1,Male,2,College degree,familiar,familiar,2
0.130250296,2,43.499,0,3,15.816,0,2,42.308,0.101270069,2,42.158,0.054495195,3,20.879,0.062950331,3,12.984,1,2,27.756,1,3,21.357,1,2,68.347,1,2,340.257,0,2,55.295,1,2,12.144,1,2,29.823,1,3,10.704,1,3,9.047,1,3,8.091,0,1,0.037879057,1,1,1,Female,4,College degree,familiar,familiar,2
0,2,100.406,0,1,87.465,0,3,63.814,0.079019267,1,15.354,0.23481636,0,65.236,0.515269524,1,365.01,0,2,17.936,0,2,12.857,0,1,39.528,0,3,29.532,0,2,31.724,0,2,40.494,0,3,14.509,0,1,20.859,0,2,49.281,1,3,6.698,3,1,0.037879057,1,1,1,Male,2,Graduate degree,neutral,neutral,2
0,3,9.044,0,3,11.159,0.101221045,3,7.722,0.101270069,1,13.471,0.054495195,2,4.772,0.062950331,3,5.133,0,2,6.261,0,3,9.234,0,2,10.914,0,1,7.9,0,1,9.267,0,2,5.772,0,2,8.482,0,2,7.812,1,2,8.138,1,3,12.917,3,1,0.037879057,1,1,1,Female,1,Graduate degree,neutral,neutral,2
0,3,5.148,0,2,11.418,0,3,6.041,0.059181151,3,6.794,0.100336011,3,5.427,0.046373167,3,4.356,0,2,7.973,0,2,4.788,0,3,9.537,0,3,8.355,0,0,5.544,0,2,6.098,0,2,4.901,1,2,7.072,0,2,5.68,1,3,5.184,3,1,0.037879057,1,1,1,Female,1,Graduate degree,neutral,neutral,2
0,3,22.686,0,2,45.899,0.129093699,0,37.73,0.097153766,2,43.21,0.198642757,1,39.31,0.09700991,2,29.607,0,0,27.944,0,0,27.664,0,2,24.332,0,1,31.412,1,3,17.573,0,2,15.509,0,3,8.115,1,3,34.735,0,3,17.896,1,1,15.777,0,1,0.037879057,1,1,1,Female,2,Some high school,neutral,most unfamiliar,2
0,2,35.053,0,3,6.519,0,2,10.345,0.094366575,2,45.178,0.054495195,3,6.919,0.062950331,3,5.595,1,3,12.437,1,3,8.309,1,3,18.982,0,2,32.666,0,1,25.366,1,2,50.883,1,3,11.71,1,3,10.222,1,3,5.857,1,3,9.5,3,1,0.037879057,1,1,1,Male,1,Graduate degree,unfamiliar,unfamiliar,2
0,3,18.178,0,2,33.676,0,1,46.878,0.275630454,1,29.069,0.198642757,2,24.595,0.09700991,2,28.693,0,1,25.719,0,0,58.016,0,0,68.031,1,3,18.022,0,1,39.832,1,2,25.025,0,3,13.734,1,2,13.174,1,2,15.473,1,3,6.121,0,1,0.199334938,1,1,1,Male,1,College degree,neutral,most unfamiliar,2
0,3,38.574,0,3,19.259,0,2,22.033,0.101270069,2,39.787,0.054495195,2,41.532,0.062950331,2,37.447,1,3,14.759,1,3,16.579,1,3,28.564,0,0,62.421,1,2,18.817,1,1,33.873,1,3,17.745,1,3,15.288,1,3,7.801,1,3,4.826,3,1,0.037879057,1,1,1,Female,2,High school degree,neutral,neutral,3
0,3,8.829,0,3,17.913,0,3,8.106,0.104345671,1,62.173,0.100336011,2,61.917,0.046373167,3,12.391,0,2,13.963,0,0,16.669,0,1,20.835,0,1,16.208,0,1,15.108,0,1,31.361,1,3,9.508,1,3,8.212,0,3,8.034,1,3,5.587,3,1,0.116394431,1,1,1,Female,2,Some college,unfamiliar,unfamiliar,3
