Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,Q11,Q11_Confident,Q11_Time,Q12,Q12_Confident,Q12_Time,Q13,Q13_Confident,Q13_Time,Q14,Q14_Confident,Q14_Time,Q15,Q15_Confident,Q15_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0,3,12.184,0.06018547,3,29.482,0,3,18.786,0.016485074,3,21.937,0.100336011,1,57.297,0.046373167,2,12.642,1,3,13.559,1,3,34.886,1,3,16.414,1,2,26.759,1,1,22.6,1,2,28.014,1,3,9.719,1,3,6.718,1,3,25.064,1,3,6.312,3,1,0.037879057,1,1,1,Female,2,High school degree,unfamiliar,unfamiliar,3
0,3,28.884,0,3,11.234,0,3,17.492,0.101270069,2,36.548,0.054495195,3,10.851,0.062950331,3,11.908,1,3,13.376,1,3,16.443,1,3,9.538,1,2,43.487,1,3,24.257,0,3,59.381,1,3,11.257,1,3,22.243,1,3,15.945,1,3,5.425,3,1,0.037879057,1,1,1,Female,2,High school degree,neutral,neutral,3
0,3,5.513,0.06018547,2,40.154,0,3,6.521,0.016485074,3,22.905,0.215661982,2,26.649,0.046373167,3,10.392,0,2,13.933,0,1,7.795,0,2,10.178,0,2,949.314,0,2,22.556,0,2,10.827,0,2,21.291,0,1,13.258,0,2,8.005,1,3,11.01,3,1,0.037879057,1,1,1,Female,2,College degree,familiar,most familiar,1
0,3,15.598,0,2,25.456,0,3,18.575,0.016485074,3,22.031,0.215661982,2,69.839,0.046373167,3,11.783,0,3,28.662,0,2,36.376,0,2,14.617,0,2,16.026,1,3,12.311,0,2,23.483,1,3,10.989,1,3,7.815,0,2,12.009,1,3,7.859,3,1,0.037879057,1,1,1,Female,1,Graduate degree,most familiar,familiar,3
0,2,13.578,0.06018547,1,25.128,0,2,17.533,0.059181151,0,21.899,0.100336011,1,24.211,0.120634478,1,15.996,1,2,14.256,1,2,9.803,1,1,27.037,0,1,25.571,1,1,22.645,0,2,10.811,1,2,8.084,1,1,12.16,0,2,14.688,1,3,13.83,0,1,0.116394431,1,1,1,Male,3,Some college,familiar,unfamiliar,1
0.070479965,3,12.752,0,3,7.744,0,3,86.503,0.094366575,2,18.631,0.054495195,2,19.469,0.062950331,3,5.999,0,1,49.238,1,3,8.103,1,3,8.565,0,1,33.399,1,3,9.752,1,3,8.461,1,3,13.467,1,3,10.965,1,3,7.82,1,3,4.022,3,1,0.037879057,1,1,1,Male,1,College degree,most unfamiliar,most unfamiliar,3
0,3,16.486,0,2,14.558,0,1,101.962,0.079019267,0,63.418,0.205212961,0,26.719,0.264614116,0,20.286,1,2,10.894,0,2,12.535,0,2,8.565,0,1,17.987,0,2,8.23,0,1,10.413,0,2,11.013,1,1,13.842,0,2,137.468,1,3,5.227,2,1,0.037879057,1,0,0,Male,3,College degree,familiar,unfamiliar,1
0,3,8.653,0,2,27.2,0,3,33.955,0.097153766,0,32.84,0.198642757,1,35.372,0.09700991,1,26.04,0,1,45.207,0,0,72.091,0,2,83.166,0,0,67.247,0,2,49.936,0,3,69.182,0,1,53.778,1,2,48.293,0,2,43.521,1,3,7.415,0,1,0.037879057,1,1,1,Male,1,College degree,familiar,neutral,1
0,3,9.302,0.06018547,3,18.204,0,3,7.6,0.059181151,1,29.971,0.100336011,0,26.786,0.046373167,1,25.732,1,3,7.716,1,3,8.555,1,3,5.558,1,2,10.266,1,3,9.053,1,3,8.241,1,3,8.287,1,2,6.641,1,2,11.427,1,3,4.476,0,1,0.116394431,1,1,1,Male,2,College degree,neutral,neutral,2
0,3,5.549,0,2,24.408,0,3,8.225,0.107111912,2,7.834,0.100336011,0,12.766,0.046373167,2,5.396,1,3,6.144,1,3,5.471,1,2,5.884,1,2,7.73,1,2,408.356,0,1,29.6,1,3,5.83,1,2,9.258,0,2,16.353,1,3,4.432,3,1,0.037879057,1,1,1,Male,2,College degree,neutral,neutral,2
0,2,5.429,0.06018547,2,9.874,0,2,4.491,0.059181151,2,5.077,0.100336011,2,15.474,0.046373167,2,5.634,1,2,6.596,1,2,4.852,1,2,29.365,1,2,7.059,1,3,19.371,0,2,7.682,1,2,6.877,1,2,6.323,1,2,7.364,1,2,18.701,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,10.152,0.06018547,2,55.959,0,2,17.84,0.059181151,2,23.399,0.215661982,2,27.439,0.046373167,2,13.303,1,2,31.775,0,2,55.608,0,2,17.079,1,2,19.304,0,2,44.392,0,2,36.048,1,2,19.496,1,2,13.456,1,2,13.695,1,2,22.603,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,6.91,0.06018547,2,9.789,0,2,5.335,0.016485074,2,6.839,0.215661982,2,10.965,0.046373167,2,7.511,0,2,27.775,0,2,25.278,1,2,20.296,1,2,22.551,0,2,27.974,0,2,19.654,1,2,19.918,1,2,25.239,1,2,16.142,1,2,22.728,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,4.85,0.06018547,3,5.865,0,3,6.394,0.059181151,3,18.162,0.100336011,2,15.531,0.046373167,2,15.865,1,2,15.778,0,2,75.004,0,2,52.923,1,3,13.13,1,3,10.162,0,2,32.834,1,2,9.162,1,2,7.323,1,2,9.163,1,3,8.492,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,8.341,0,2,11.947,0,2,8.907,0.107111912,2,15.774,0.215661982,3,13.179,0.046373167,2,9.611,1,2,73.078,0,2,44.755,0,2,22.507,0,2,9.719,0,2,12.199,0,2,17.214,0,2,18.64,1,2,15.727,1,2,19.295,1,2,15.395,2,1,0.116394431,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,5.289,0,2,23.635,0,3,5.361,0.059181151,2,8.867,0.100336011,2,26.561,0.046373167,2,7.919,0,2,27.262,0,2,18.588,0,2,13.052,1,2,6.282,1,2,7.547,0,2,13.114,1,3,5.859,1,3,4.894,1,3,6.887,1,3,6.194,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,4.865,0.06018547,2,6.06,0,3,7.067,0.016485074,2,8.186,0.100336011,2,6.556,0.046373167,2,7.189,1,2,12.667,0,2,11.251,0,2,13.406,1,3,4.73,1,3,6.428,0,2,14.508,1,3,6.051,1,3,6.019,1,2,6.746,1,3,5.89,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,5.539,0,3,6.363,0,2,6.307,0.016485074,2,6.403,0.215661982,2,7.355,0.046373167,2,5.538,0,2,16.043,0,2,28.925,0,2,14.292,1,2,12.476,0,2,25.267,0,2,7.788,1,2,7.779,1,3,5.259,1,2,9.5,1,3,3.98,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,5.89,0.06018547,2,3.835,0,3,6.658,0.059181151,2,10.154,0.100336011,2,6.482,0.046373167,3,8.875,1,2,8.308,1,2,5.995,1,2,5.091,1,3,5.181,1,3,5.563,0,2,11.411,1,2,6.699,1,3,4.979,1,3,5.147,1,3,4.86,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,6.754,0,2,15.816,0,2,6.825,0.016485074,2,25.276,0.100336011,2,9.09,0.046373167,2,11.309,1,2,21.373,1,2,11.852,1,2,10.286,1,2,33.832,1,2,12.717,0,2,14.253,1,3,13.758,1,2,9.154,1,2,17.968,1,3,7.027,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,10.409,0,2,9.52,0,2,12.898,0.107111912,2,13.659,0.100336011,2,16.756,0.046373167,2,8.947,1,2,8.458,1,2,5.467,1,2,6.574,1,3,6.095,1,2,6.635,0,2,15.905,1,2,63.726,1,3,8.552,1,2,6.608,1,3,11.416,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,7.3,0,2,9.22,0,2,6.3,0.059181151,2,15.158,0.100336011,2,5.692,0.046373167,2,10.188,0,2,9.877,0,2,24.221,0,2,19.693,1,2,6.376,1,2,13.607,0,2,21.117,1,2,9.303,1,3,6.837,1,3,13.244,1,3,4.205,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.274921371,2,6.611,0,1,7.973,0.129093699,2,5.787,0.280091028,2,7.988,0.198642757,2,7.506,0.325843019,2,6.466,0,2,22.429,0,2,11.972,0,2,9.867,0,2,12.763,0,2,7.124,1,2,13.478,0,2,8.428,0,2,16.63,0,2,9.556,1,2,7.405,2,1,0.037879057,1,1,1,Female,1,College degree,neutral,familiar,2
0,2,6.709,0,2,7.283,0,2,6.49,0.107111912,2,10.333,0.100336011,2,7.178,0.046373167,2,13.673,0,2,20.311,0,2,17.88,0,2,9.357,1,2,7.343,1,2,39.06,0,2,11.834,1,2,7.66,1,2,8.94,1,2,5.899,1,3,5.486,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,10.068,0.06018547,2,4.592,0,2,4.805,0.059181151,2,10.972,0.100336011,2,9.89,0.046373167,2,7.908,1,2,16.836,1,2,11.443,1,2,13.286,1,2,6.243,1,2,13.334,0,2,11.845,1,2,9.027,0,2,7.419,1,2,15.52,1,3,6.403,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,6.801,0,2,5.875,0,2,8.927,0.059181151,2,7.651,0.215661982,2,10.649,0.046373167,2,10.521,0,2,18.185,0,2,22.792,0,2,14.25,1,2,5.977,1,2,10.104,0,2,37.705,1,2,8.737,1,2,6.336,1,2,4.865,1,3,3.872,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,12.648,0.06018547,2,11.279,0,2,14.216,0.016485074,2,93.307,0.100336011,3,36.929,0.046373167,2,27.778,0,2,36.958,0,2,32.113,0,2,58.053,1,2,18.998,0,1,53.217,1,2,25.52,1,1,50.996,1,3,10.274,1,1,13.61,1,3,10.936,3,1,0.037879057,1,1,1,Male,4,Graduate degree,familiar,neutral,2
0,2,45.992,0,2,34.342,0,2,25.669,0.016485074,1,43.455,0.142640793,0,25.502,0.046373167,2,10.753,1,2,12.269,1,2,10.688,1,1,15.205,1,2,12.712,1,1,13.353,0,0,35.246,0,0,24.686,1,1,15.174,0,1,11.489,1,3,5.069,0,1,0.037879057,1,1,1,Male,1,Some college,most unfamiliar,most unfamiliar,2
0,3,6.602,0,2,8.809,0,3,29.368,0.097153766,2,6.884,0.23481636,2,12.671,0.09700991,2,6.973,0,2,6.64,0,2,4.141,0,2,4.629,0,2,4.42,0,2,3.44,1,2,4.982,0,2,3.341,0,3,3.426,0,2,5.697,1,3,14.346,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,5.571,0.06018547,2,7.691,0,3,5.61,0.059181151,2,13.019,0.100336011,2,7.092,0.046373167,3,5.91,1,2,5.487,1,2,6.078,0,2,9.053,1,2,9.198,1,2,10.149,0,2,12.061,1,2,6.14,1,2,4.503,1,3,5.934,1,3,6.158,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,4.981,0.06018547,2,15.526,0,2,7.452,0.059181151,2,9.606,0.288804708,2,13.493,0.046373167,2,8.756,0,2,22.056,0,2,13.329,0,2,29.244,1,2,11.693,1,2,13.344,0,2,38.236,1,2,11.527,1,2,9.528,1,2,12.953,1,3,5.498,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,7.018,0,2,11.196,0,2,7.388,0.059181151,2,17.808,0.215661982,2,10.155,0.046373167,2,11.678,0,2,57.198,0,2,18.979,0,2,29.047,1,2,7.532,1,2,13.173,0,2,20.904,1,2,11.899,1,2,13.058,1,2,7.888,1,3,4.654,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
