Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0,2,7.461,0,3,6.005,0.067137831,2,29.933,0.068438033,2,12.084,1,2,14.999,1,2,11.991,0,2,10.724,0,2,14.623,1,2,9.349,1,2,7.813,1,3,5.348,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,6.897,0,2,6.302,0.067137831,2,9.878,0.068438033,2,17.526,1,2,16.672,1,2,16.904,0,2,14.592,0,2,12.993,1,2,7.488,1,2,7.467,1,3,5.64,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.097089152,2,11.718,0,2,6.261,0.155221711,2,17.083,0.049788191,2,13.857,0,1,17.684,0,1,30.462,0,2,14.99,0,1,9.943,0,3,6.506,1,3,7.532,1,3,5.643,1,1,0.116394431,1,1,1,Male,1,Some college,familiar,unfamiliar,2
0,2,5.112,0,2,7.833,0.229945729,2,17.16,0.049788191,2,11.698,1,2,10.737,1,2,12.055,0,2,11.501,0,2,14.92,1,2,9.632,1,2,6.548,1,2,7,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,3.903,0,2,5.222,0.229945729,2,11.294,0.068438033,2,12.879,1,2,6.543,1,2,36.185,0,2,12.691,0,2,9.943,1,2,9.706,1,2,4.495,1,2,4.031,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,4.982,0,2,5.771,0.235120204,2,14.202,0.049788191,2,9.704,1,2,7.592,1,2,5.212,0,2,10.085,0,2,9.049,1,2,7.024,1,2,10.384,1,2,4.746,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,5.304,0,2,6.064,0.235120204,2,9.772,0.068438033,2,8.777,1,2,9.314,1,2,6.964,0,2,10.907,0,2,6.675,1,2,6.531,1,2,7.617,1,3,4.676,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,3,12.112,0,3,11.247,0.235120204,2,15.325,0.049788191,2,14.778,0,0,9.808,0,0,29.488,0,1,11.847,0,1,11.241,1,1,11.106,1,2,8.838,1,3,6.919,3,1,0.037879057,1,1,1,Female,4,College degree,unfamiliar,most unfamiliar,2
0,2,4.316,0,2,4.675,0.229945729,2,8.869,0.049788191,2,16.71,1,2,5.136,1,2,20.599,0,2,8.971,0,2,10.694,1,2,5.878,1,2,4.801,1,3,4.368,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,3.625,0,2,4.825,0.235120204,2,17.525,0.068438033,2,12.174,1,2,9.839,1,2,5.757,0,2,9.354,0,2,12.305,1,2,5.616,1,2,5.216,1,3,9.545,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,13.347,0,2,8.532,0.235120204,2,14.505,0.075254149,2,13.08,1,2,7.104,1,2,8.404,0,2,13.331,0,2,8.766,1,2,9.559,1,2,13.447,1,3,6.652,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.222185545,2,4.165,0,2,5.04,0.235120204,2,8.603,0.068438033,2,7.485,1,2,4.864,1,2,8.62,0,2,6.699,0,2,7.852,1,2,7.74,1,2,13.3,1,2,4.844,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,8.62,0,2,3.968,0.229945729,2,8.578,0.049788191,2,8.393,1,2,9.845,1,2,5.706,0,2,10.506,0,2,6.738,1,2,5.217,1,2,5.803,1,2,4.137,2,1,0.037879057,1,1,1,Female,1,College degree,neutral,familiar,2
